Cx Lat,Cx Long,Store Name,# of Deliveries
37.665676,-122.118576,Kitava (Temescal),2
37.667503,-122.125755,Kitava (Temescal),3
37.670811,-122.1304,Kitava (Temescal),3
37.675147,-122.145433,Kitava (Temescal),2
37.675323,-122.13151,Kitava (Temescal),2
37.682559,-122.108625,Kitava (Temescal),1
37.685104,-122.088134,Kitava (Temescal),1
37.689756166,-122.105086627,Kitava (Temescal),1
37.69195,-122.09698,Kitava (Temescal),12
37.692818,-122.143381,Kitava (Temescal),1
37.693004999,-122.144600004,Kitava (Temescal),1
37.693344969,-122.13222404,Kitava (Temescal),1
37.693573,-122.18011,Kitava (Temescal),1
37.695062,-122.154871,Kitava (Temescal),1
37.695521959,-122.118935036,Kitava (Temescal),2
37.695749,-122.158429,Kitava (Temescal),7
37.696317,-122.086292,Kitava (Temescal),1
37.69667,-122.158936,Kitava (Temescal),1
37.698165,-122.08965,Kitava (Temescal),1
37.698431,-122.135946,Kitava (Temescal),1
37.698524,-122.11512,Kitava (Temescal),1
37.69936,-122.131489,Kitava (Temescal),1
37.700794,-122.102702,Kitava (Temescal),1
37.701701978,-122.125175027,Kitava (Temescal),1
37.704604967,-122.128580008,Kitava (Temescal),1
37.704975,-122.15393,Kitava (Temescal),8
37.705368,-122.162051,Kitava (Temescal),1
37.705826,-122.110067,Kitava (Temescal),1
37.707069959,-122.175730057,Kitava (Temescal),1
37.708642,-122.116334,Kitava (Temescal),1
37.710472,-122.18254,Kitava (Temescal),1
37.71199,-122.0804,Kitava (Temescal),1
37.712112973,-122.155709043,Kitava (Temescal),1
37.713397,-122.09065,Kitava (Temescal),6
37.715975982,-122.087877067,Kitava (Temescal),1
37.716434,-122.179031,Kitava (Temescal),6
37.717571,-122.092102,Kitava (Temescal),1
37.717963,-122.188595,Kitava (Temescal),5
37.718399987,-122.082620021,Kitava (Temescal),5
37.719707,-122.12995,Kitava (Temescal),1
37.720688,-122.12613,Kitava (Temescal),1
37.721132,-122.146587,Kitava (Temescal),2
37.722039996,-122.175178025,Kitava (Temescal),1
37.722822,-122.162682,Kitava (Temescal),1
37.722947965,-122.162771048,Kitava (Temescal),1
37.723158,-122.137392,Kitava (Temescal),1
37.723267,-122.234764,Kitava (Temescal),2
37.72364,-122.23813,Kitava (Temescal),1
37.723643999,-122.23810005,Kitava (Temescal),1
37.724594,-122.23297,Kitava (Temescal),1
37.724619987,-122.240430051,Kitava (Temescal),1
37.72492,-122.140056,Kitava (Temescal),1
37.725087,-122.145172,Kitava (Temescal),1
37.7252,-122.128925,Kitava (Temescal),1
37.72531,-122.145543,Kitava (Temescal),7
37.725837962,-122.198364045,Kitava (Temescal),1
37.726967,-122.18102,Kitava (Temescal),3
37.726979996,-122.204680061,Kitava (Temescal),1
37.727641,-122.17564,Kitava (Temescal),1
37.727722,-122.23573,Kitava (Temescal),1
37.728195,-122.177315,Kitava (Temescal),2
37.728486,-122.242697,Kitava (Temescal),1
37.728887969,-122.194668045,Kitava (Temescal),1
37.729137,-122.234924,Kitava (Temescal),1
37.729255976,-122.145210039,Kitava (Temescal),1
37.729389961,-122.199370041,Kitava (Temescal),1
37.7298,-122.24658,Kitava (Temescal),2
37.729947,-122.150106,Kitava (Temescal),1
37.730068,-122.239784,Kitava (Temescal),2
37.730446,-122.161,Kitava (Temescal),1
37.73092,-122.157901,Kitava (Temescal),1
37.731125,-122.16483,Kitava (Temescal),3
37.731205,-122.19111,Kitava (Temescal),1
37.731944975,-122.200390035,Kitava (Temescal),1
37.731952,-122.146808,Kitava (Temescal),3
37.732613,-122.155,Kitava (Temescal),1
37.732826,-122.23588,Kitava (Temescal),5
37.733376,-122.140564,Kitava (Temescal),1
37.73339,-122.16444,Kitava (Temescal),2
37.7339,-122.23589,Kitava (Temescal),2
37.733974,-122.16026,Kitava (Temescal),1
37.73431,-122.21506,Kitava (Temescal),1
37.734692981,-122.195526017,Kitava (Temescal),1
37.734975,-122.164441,Kitava (Temescal),2
37.735053,-122.15657,Kitava (Temescal),3
37.73509196,-122.196660005,Kitava (Temescal),1
37.735182,-122.134909,Kitava (Temescal),7
37.735565,-122.148834,Kitava (Temescal),2
37.735765,-122.175831,Kitava (Temescal),8
37.735987,-122.252931,Kitava (Temescal),3
37.736342,-122.146046,Kitava (Temescal),1
37.736564,-122.25267,Kitava (Temescal),1
37.736854,-122.238438,Kitava (Temescal),1
37.737174,-122.173764,Kitava (Temescal),1
37.73741,-122.154366,Kitava (Temescal),1
37.738052,-122.243582,Kitava (Temescal),2
37.73821,-122.15014,Kitava (Temescal),1
37.738413,-122.245397,Kitava (Temescal),1
37.73845,-122.16288,Kitava (Temescal),3
37.738548,-122.249756,Kitava (Temescal),1
37.738903,-122.16319,Kitava (Temescal),1
37.739162,-122.15438,Kitava (Temescal),1
37.739171,-122.201595,Kitava (Temescal),1
37.73941,-122.16116,Kitava (Temescal),2
37.740751,-122.154785,Kitava (Temescal),2
37.740757,-122.201385,Kitava (Temescal),1
37.740972,-122.161586,Kitava (Temescal),1
37.740974,-122.15314,Kitava (Temescal),2
37.741055,-122.20203,Kitava (Temescal),1
37.741467,-122.26063,Kitava (Temescal),2
37.742289,-122.148347,Kitava (Temescal),1
37.743055,-122.156826,Kitava (Temescal),1
37.743088,-122.246155,Kitava (Temescal),5
37.743168,-122.242966,Kitava (Temescal),1
37.7436,-122.252625,Kitava (Temescal),1
37.745252,-122.205346,Kitava (Temescal),3
37.74526,-122.20538,Kitava (Temescal),1
37.746207,-122.138863,Kitava (Temescal),2
37.746468,-122.14321,Kitava (Temescal),2
37.74667,-122.239006,Kitava (Temescal),2
37.746721,-122.144672,Kitava (Temescal),1
37.746796,-122.14379,Kitava (Temescal),1
37.747077998,-122.203560071,Kitava (Temescal),1
37.747224,-122.246528,Kitava (Temescal),1
37.747624,-122.24517,Kitava (Albany),1
37.747624,-122.24517,Kitava (Temescal),56
37.747628,-122.245155,Kitava (Temescal),5
37.747885,-122.14337,Kitava (Temescal),1
37.748854,-122.155857,Kitava (Temescal),1
37.750207,-122.154599,Kitava (Temescal),3
